identifier	count
M201	10466
M202	13868
M203	30053
M204	274
M205	244
M206	288
M207	1146
M208	2225
M209	23473
M210	2262
M211	5106
M212	13868
M213	30053
M214	146
M215	211
M216	10515
M217	429
M218	6225
M219	1866
M220	9
M221	301
M222	165
M223	704
M224	258
M225	175
M226	282
M227	725
M228	79
M229	260
M230	203
M231	869
M232	4173
M233	7644
M234	23473
M235	3543
M236	11144
M237	7388
M238	30053
M239	516
M240	288
M241	298
M242	385
M243	3682
M244	3136
M245	23473
M246	4219
M247	312
M248	269
M249	773
M250	11144
M251	4190
M252	9002
M253	10855
M254	1508
M255	23473
M256	4927
M257	159
M258	152
M259	5651
M260	144
M261	5137
M262	6160
M263	406
M264	222
M265	647
M266	1529
M267	61
M268	480
M269	506
M270	200
M271	79
M272	19
M273	496
M274	164
M275	4630
M276	4749
M277	8583
M278	10855
M279	7264
M280	5186
M281	11053
M282	5228
M283	13269
M284	22495
M285	366
M286	120
M287	86
M288	427
M289	1590
M290	7264
M291	16798
M292	5660
M293	10892
M294	13269
M295	22495
M296	418
M297	291
M298	397
M299	2186
M300	6218
M301	16798
M302	2753
M303	10892
M304	9248
M305	22495
M306	5383
M307	1710
M308	4403
M309	12317
M310	7841
M311	1829
M312	5675
M313	10592
M314	3840
M315	6191
M316	11157
M317	2101
M318	6648
M319	7140
M320	5441
M321	4898
M322	1632
M323	5350
M324	4964
M325	5301
M326	16798
M327	4060
M328	9194
M329	10666
M330	1640
M331	8348
M332	6661
M333	9248
M334	3937
M335	9265
M336	2831
M337	16798
M338	6429
M339	21574
M340	7176
M341	7398
M342	335
M343	337
M344	270
M345	9265
M346	3750
M347	6646
M348	3056
M349	21574
M350	2033
M351	12005
M352	4150
M353	9006
M354	8802
M355	5647
M356	3600
M357	4389
M358	5879
M359	5069
M360	745
M361	4044
M362	4581
M363	6103
M364	3725
M365	4626
M366	1614
M367	1588
M368	5251
M369	4423
M370	6646
M371	14528
M372	21574
M373	12391
M374	12005
M375	3517
M376	3854
M377	1294
M378	6069
M379	7271
M380	2010
M381	2444
M382	2533
M383	14528
M384	21574
M385	12391
M386	7065
M387	355
M388	1212
M389	158
M390	3868
M391	6459
M392	8430
M393	14528
M394	7543
M395	5355
M396	14106
M397	2868
M398	4248
M399	3331
M400	9348
M401	6326
M402	4220
M403	5569
M404	5386
M405	3475
M406	5355
M407	8158
M408	5223
M409	5817
M410	2623
M411	5868
M412	5762
M413	7165
M414	3790
M415	8430
M416	21732
M417	7543
M418	7859
M419	14106
M420	5860
M421	3346
M422	5815
M423	5676
M424	5285
M425	5679
M426	1727
M427	5516
M428	21732
M429	6792
M430	4287
M431	443
M432	7402
M433	7859
M434	5050
M435	361
M436	3978
M437	4841
M438	21732
M439	7402
M440	3586
M441	7740
M442	7609
M443	3267
M444	3840
M445	3168
M446	7196
M447	2717
M448	3386
M449	31
M450	6375
M451	3201
M452	4167
M453	4464
M454	263
M455	4003
M456	8160
M457	3572
M458	348
M459	5396
M460	3978
M461	6179
M462	9391
M463	6356
M464	7816
M465	10059
M466	4805
M467	6154
M468	9669
M469	9853
M470	7089
M471	10464
M472	5232
M473	3424
M474	9391
M475	381
M476	17
M477	638
M478	9669
M479	9853
M480	8194
M481	10464
M482	8194
M483	4175
M484	3913
M485	4813
M486	11159
M487	8275
M488	3751
M489	12865
M490	7898
M491	4775
M492	4947
M493	5640
M494	9026
M495	7083
M496	2471
M497	5680
M498	7860
M499	6646
M500	7426
M501	13484
M502	22369
M503	27534
M504	8194
M505	5217
M506	7536
M507	3934
M508	4336
M509	6671
M510	6024
M511	8190
M512	6711
M513	479
M514	7426
M515	13484
M516	22369
M517	27534
M518	5295
M519	6406
M520	5908
M521	3120
M522	86
M523	16311
M524	5020
M525	13484
M526	22369
M527	27534
M528	5076
M529	3799
M530	6720
M531	245
M532	1135
M533	4884
M534	7841
M535	2693
M536	4033
M537	7928
M538	6156
M539	5315
M540	5754
M541	8480
M542	225
M543	898
M544	9853
M545	6142
M546	5313
M547	3993
M548	2430
M549	22369
M550	27534
M551	3784
M552	3500
M553	8799
M554	8747
M555	7827
M556	7606
M557	5325
M558	12503
M559	7417
M560	5907
M561	4894
M562	27534
M563	12003
M564	2403
M565	6822
M566	1007
M567	1008
M568	11477
M569	334
M570	7252
M571	5717
M572	7462
M573	12003
M574	14712
M575	5168
M576	13845
M577	2087
M578	11477
M579	6688
M580	8395
M581	3451
M582	7224
M583	1370
M584	4301
M585	4464
M586	3634
M587	1065
M588	1814
M589	2286
M590	7980
M591	4141
M592	627
M593	1486
M594	5306
M595	5354
M596	213
M597	6743
M598	4620
M599	14712
M600	4965
M601	13845
M602	4451
M603	16460
M604	1489
M605	44
M606	7824
M607	5622
M608	3133
M609	14712
M610	12930
M611	66
M612	2642
M613	16460
M614	7028
M615	4
M616	4738
M617	7609
M618	38
M619	4415
M620	12930
M621	3124
M622	5988
M623	5889
M624	747
M625	6251
M626	4102
M627	120
M628	1219
M629	7839
M630	4911
M631	1175
M632	86
M633	4544
M634	2
M635	6934
M636	3364
M637	338
M638	640
M639	1366
M640	221
M641	451
M642	46
M643	2215
M644	6241
M645	2749
M646	12930
M647	72
M648	1191
M649	1893
M650	13363
M651	4714
M652	7186
M653	7130
M654	12649
M655	2669
M656	2749
M657	5344
M658	442
M659	75
M660	403
M661	7755
M662	3123
M663	13772
M664	12649
M665	14114
M666	4281
M667	5565
M668	5390
M669	5324
M670	8574
M671	4758
M672	6580
M673	4650
M674	3108
M675	266
M676	3355
M677	114
M678	172
M679	726
M680	10438
M681	664
M682	6573
M683	355
M684	81
M685	7001
M686	5168
M687	5225
M688	13772
M689	1620
M690	14114
M691	1249
M692	3272
M693	8371
M694	2407
M695	92
M696	8804
M697	186
M698	4227
M699	3421
M700	9078
M701	14114
M702	16821
M703	7756
M704	6341
M705	45
M706	92
M707	386
M708	232
M709	7
M710	5455
M711	6859
M712	16821
M713	23
M714	10483
M715	7153
M716	13261
M717	6855
M718	3253
M719	4578
M720	4428
M721	3956
M722	8853
M723	4072
M724	5379
M725	1872
M726	1550
M727	5749
M728	8904
M729	9660
M730	8820
M731	3953
M732	2706
M733	4382
M734	3049
M735	16821
M736	19958
M737	10483
M738	10898
M739	13261
M740	2379
M741	6030
M742	955
M743	270
M744	1750
M745	3777
M746	5693
M747	4581
M748	19958
M749	12785
M750	5268
M751	164
M752	5096
M753	10898
M754	5949
M755	4702
M756	11670
M757	7356
M758	19958
M759	2328
M760	9030
M761	3999
M762	4638
M763	6082
M764	8437
M765	108
M766	4249
M767	4267
M768	5887
M769	536
M770	185
M771	260
M772	3466
M773	4236
M774	160
M775	1638
M776	645
M777	2923
M778	398
M779	3417
M780	11670
M781	2551
M782	10912
M783	4618
M784	9979
M785	12811
M786	300
M787	388
M788	196
M789	8
M790	304
M791	1556
M792	5036
M793	6686
M794	12531
M795	10912
M796	8417
M797	4987
M798	12811
M799	216
M800	23
M801	201
M802	2770
M803	3661
M804	12531
M805	5222
M806	6
M807	56
M808	4799
M809	9551
M810	3257
M811	7540
M812	3754
M813	4207
M814	3271
M815	10207
M816	4799
M817	159
M818	261
M819	5070
M820	5409
M821	3207
M822	8417
M823	6348
M824	8091
M825	6855
M826	2797
M827	12531
M828	4987
M829	4569
M830	8903
M831	1183
M832	5903
M833	5532
M834	2220
M835	4161
M836	3304
M837	6855
M838	16189
M839	1594
M840	2815
M841	3256
M842	12569
M843	15017
M844	288
M845	6069
M846	7464
M847	9815
M848	16189
M849	19296
M850	6746
M851	9281
M852	12569
M853	15017
M854	3496
M855	1971
M856	4445
M857	559
M858	5456
M859	5168
M860	8918
M861	401
M862	410
M863	6007
M864	2399
M865	5292
M866	1270
M867	1247
M868	1538
M869	2959
M870	8254
M871	1220
M872	2434
M873	3372
M874	19296
M875	3544
M876	4133
M877	3677
M878	15017
M879	5915
M880	945
M881	176
M882	459
M883	3713
M884	4622
M885	19296
M886	4524
M887	21
M888	271
M889	45
M890	5255
M891	11142
M892	5643
M893	11407
M894	2102
M895	19296
M896	6998
M897	41
M898	3036
M899	4002
M900	1897
M901	7563
M902	2875
M903	4172
M904	7187
M905	2248
M906	1311
M907	3869
M908	2561
M909	985
M910	4442
M911	3174
M912	1644
M913	2731
M914	333
M915	3712
M916	2476
M917	11142
M918	10179
M919	11407
M920	10368
M921	8509
M922	6591
M923	4393
M924	5565
M925	3117
M926	2062
M927	1852
M928	11142
M929	30
M930	9117
M931	10368
M932	4009
M933	5483
M934	119
M935	346
M936	20
M937	8259
M938	3630
M939	6654
M940	9117
M941	18096
M942	4070
M943	3761
M944	8259
M945	7872
M946	11389
M947	665
M948	947
M949	3583
M950	3252
M951	607
M952	561
M953	4537
M954	4237
M955	4058
M956	5037
M957	5641
M958	2553
M959	166
M960	1771
M961	920
M962	1049
M963	83
M964	1309
M965	4341
M966	18096
M967	90
M968	4629
M969	8259
M970	2857
M971	5320
M972	1354
M973	3387
M974	7756
M975	3593
M976	8819
M977	90
M978	10744
M979	1977
M980	2842
M981	1217
M982	12692
M983	4129
M984	7055
M985	2555
M986	19133
M987	1458
M988	10744
M989	12692
M990	3273
M991	8341
M992	968
M993	4579
M994	6364
M995	2696
M996	1194
M997	3479
M998	491
M999	3381
M1000	533
M1001	6618
M1002	5522
M1003	5011
M1004	3999
M1005	268
M1006	7800
M1007	2517
M1008	755
M1009	152
M1010	175
M1011	9399
M1012	19133
M1013	16834
M1014	7867
M1015	4961
M1016	8152
M1017	3116
M1018	6237
M1019	4284
M1020	18453
M1021	2216
M1022	6712
M1023	2072
M1024	16834
M1025	11242
M1026	352
M1027	326
M1028	91
M1029	11152
M1030	18453
M1031	5305
M1032	6712
M1033	5211
M1034	7000
M1035	2396
M1036	132
M1037	1610
M1038	2124
M1039	6304
M1040	7706
M1041	3540
M1042	2
M1043	266
M1044	551
M1045	107
M1046	16
M1047	874
M1048	2622
M1049	258
M1050	42
M1051	11152
M1052	18453
M1053	9963
M1054	12331
M1055	5211
M1056	7509
M1057	6749
M1058	167
M1059	525
M1060	436
M1061	91
M1062	2430
M1063	4033
M1064	6321
M1065	7797
M1066	15679
M1067	12331
M1068	18797
M1069	6183
M1070	5626
M1071	415
M1072	139
M1073	4962
M1074	5402
M1075	7797
M1076	15679
M1077	1867
M1078	18797
M1079	2596
M1080	13406
M1081	4322
M1082	9415
M1083	20
M1084	4012
M1085	2065
M1086	4519
M1087	358
M1088	4521
M1089	5816
M1090	6717
M1091	3567
M1092	21
M1093	4972
M1094	7
M1095	5390
M1096	3889
M1097	1
M1098	406
M1099	12191
M1100	7364
M1101	15679
M1102	8318
M1103	18797
M1104	6075
M1105	6393
M1106	5905
M1107	3290
M1108	2516
M1109	3560
M1110	12191
M1111	6926
M1112	13846
M1113	12643
M1114	18797
M1115	5585
M1116	6617
M1117	892
M1118	1
M1119	62
M1120	12599
M1121	7458
M1122	13846
M1123	12643
M1124	7732
M1125	4591
M1126	6556
M1127	2534
M1128	4440
M1129	5131
M1130	412
M1131	3199
M1132	4136
M1133	2689
M1134	664
M1135	1
M1136	7366
M1137	549
M1138	69
M1139	651
M1140	702
M1141	202
M1142	3
M1143	334
M1144	17
M1145	12599
M1146	6305
M1147	4483
M1148	12643
M1149	9234
M1150	4496
M1151	7385
M1152	7586
M1153	5530
M1154	6401
M1155	732
M1156	336
M1157	255
M1158	3165
M1159	9234
M1160	5060
M1161	13302
M1162	268
M1163	40
M1164	29
M1165	7303
M1166	8280
M1167	9550
M1168	15914
M1169	5862
M1170	3446
M1171	13302
M1172	10
M1173	156
M1174	94
M1175	4
M1176	809
M1177	185
M1178	5
M1179	245
M1180	116
M1181	1047
M1182	93
M1183	47
M1184	4
M1185	35
M1186	452
M1187	7322
M1188	3558
M1189	9550
M1190	15914
M1191	9170
M1192	5440
M1193	3884
M1194	10017
M1195	5555
M1196	6246
M1197	1413
M1198	152
M1199	3920
M1200	669
M1201	5430
M1202	4935
M1203	170
M1204	15914
M1205	1724
M1206	7963
M1207	4231
M1208	10017
M1209	16663
M1210	6246
M1211	675
M1212	373
M1213	146
M1214	5710
M1215	5297
M1216	7963
M1217	5272
M1218	1625
M1219	16663
M1220	4313
M1221	63
M1222	667
M1223	195
M1224	7618
M1225	2896
M1226	693
M1227	2003
M1228	45
M1229	17
M1230	233
M1231	384
M1232	169
M1233	375
M1234	69
M1235	2
M1236	219
M1237	114
M1238	5490
M1239	2641
M1240	7963
M1241	5671
M1242	10971
M1243	16663
M1244	7226
M1245	4
M1246	372
M1247	79
M1248	167
M1249	117
M1250	4680
M1251	3950
M1252	4010
M1253	5671
M1254	10971
M1255	16663
M1256	7202
M1257	79
M1258	739
M1259	79
M1260	6394
M1261	3852
M1262	4010
M1263	11725
M1264	30200
M1265	30058
M1266	37348
M1267	5088
M1268	5721
M1269	5713
M1270	7727
M1271	2550
M1272	8740
M1273	9769
M1274	8270
M1275	45
M1276	4234
M1277	11572
M1278	4082
M1279	3585
M1280	8663
M1281	4651
M1282	4976
M1283	7931
M1284	5549
M1285	1204
M1286	2877
M1287	23590
M1288	11725
M1289	30200
M1290	30058
M1291	37348
M1292	2191
M1293	5801
M1294	4267
M1295	5182
M1296	2620
M1297	4410
M1298	23590
M1299	1627
M1300	30200
M1301	30058
M1302	37348
M1303	683
M1304	638
M1305	815
M1306	3298
M1307	3408
M1308	23590
M1309	6271
M1310	20379
M1311	30058
M1312	37348
M1313	3814
M1314	6190
M1315	3812
M1316	8450
M1317	7104
M1318	3652
M1319	4053
M1320	8138
M1321	6366
M1322	3238
M1323	8803
M1324	4564
M1325	4032
M1326	6220
M1327	10007
M1328	4737
M1329	3467
M1330	5327
M1331	2113
M1332	5167
M1333	23590
M1334	4020
M1335	20379
M1336	11465
M1337	37348
M1338	10779
M1339	3754
M1340	6818
M1341	4290
M1342	3429
M1343	4603
M1344	23590
M1345	5278
M1346	136
M1347	276
M1348	290
M1349	20379
M1350	11465
M1351	9341
M1352	1331
M1353	8813
M1354	23590
M1355	3463
M1356	2710
M1357	19642
M1358	14852
M1359	4
M1360	494
M1361	2502
M1362	780
M1363	7095
M1364	5858
M1365	393
M1366	1225
M1367	710
M1368	328
M1369	8
M1370	151
M1371	359
M1372	4
M1373	174
M1374	203
M1375	14
M1376	112
M1377	4997
M1378	8813
M1379	11236
M1380	4467
M1381	2254
M1382	19642
M1383	14852
M1384	192
M1385	394
M1386	379
M1387	784
M1388	4398
M1389	3676
M1390	11236
M1391	3627
M1392	5892
M1393	3296
M1394	14852
M1395	8
M1396	6
M1397	167
M1398	1354
M1399	4083
M1400	11236
M1401	2857
M1402	1372
M1403	3643
M1404	5777
M1405	1271
M1406	5497
M1407	7337
M1408	2689
M1409	1773
M1410	10
M1411	1389
M1412	12
M1413	2076
M1414	432
M1415	4949
M1416	1724
M1417	1410
M1418	34
M1419	1479
M1420	5892
M1421	5190
M1422	17044
M1423	17
M1424	13655
M1425	11236
M1426	5422
M1427	6470
M1428	1782
M1429	252
M1430	631
M1431	3750
M1432	8388
M1433	17044
M1434	2665
M1435	13655
M1436	4142
M1437	4549
M1438	15394
M1439	7926
M1440	5622
M1441	265
M1442	106
M1443	201
M1444	1396
M1445	13655
M1446	4915
M1447	3569
M1448	15394
M1449	7926
M1450	5164
M1451	6456
M1452	7268
M1453	4463
M1454	133
M1455	3704
M1456	2477
M1457	4391
M1458	644
M1459	4905
M1460	3657
M1461	4221
M1462	6430
M1463	326
M1464	4259
M1465	4933
M1466	2834
M1467	8260
M1468	3364
M1469	3061
M1470	4915
M1471	4878
M1472	1781
M1473	4637
M1474	19257
M1475	3944
M1476	2270
M1477	3130
M1478	278
M1479	2782
M1480	4269
M1481	5011
M1482	5019
M1483	15233
M1484	4878
M1485	14376
M1486	4637
M1487	19257
M1488	523
M1489	71
M1490	89
M1491	7104
M1492	1799
M1493	15233
M1494	4949
M1495	14376
M1496	11291
M1497	19257
M1498	110
M1499	1696
M1500	4846
M1501	66
M1502	4
M1503	7315
M1504	312
M1505	6
M1506	2618
M1507	4030
M1508	4115
M1509	8228
M1510	328
M1511	166
M1512	55
M1513	130
M1514	335
M1515	811
M1516	5098
M1517	2767
M1518	15233
M1519	2678
M1520	320
M1521	3821
M1522	270
M1523	1076
M1524	5551
M1525	11291
M1526	3587
M1527	2595
M1528	6122
M1529	15233
M1530	2952
M1531	10806
M1532	11291
M1533	11068
M1534	228
M1535	556
M1536	238
M1537	2324
M1538	6122
M1539	5264
M1540	4317
M1541	3302
M1542	3335
M1543	2640
M1544	4828
M1545	3977
M1546	3156
M1547	5397
M1548	6556
M1549	316
M1550	2678
M1551	3541
M1552	5384
M1553	5769
M1554	6
M1555	4037
M1556	7932
M1557	8816
M1558	302
M1559	10806
M1560	33
M1561	5916
M1562	4684
M1563	8008
M1564	5264
M1565	4508
M1566	4000
M1567	7214
M1568	5164
M1569	6252
M1570	6436
M1571	2111
M1572	4442
M1573	9175
M1574	8008
M1575	6619
M1576	4492
M1577	7883
M1578	5372
M1579	4610
M1580	11
M1581	131
M1582	387
M1583	9175
M1584	2703
M1585	10553
M1586	4319
M1587	7883
M1588	21823
M1589	4610
M1590	6546
M1591	1716
M1592	6045
M1593	2994
M1594	3362
M1595	1774
M1596	4950
M1597	4238
M1598	3578
M1599	5744
M1600	3720
M1601	4419
M1602	5615
M1603	4221
M1604	2223
M1605	566
M1606	4658
M1607	1129
M1608	1058
M1609	6249
M1610	10553
M1611	998
M1612	8149
M1613	6430
M1614	1481
M1615	4064
M1616	7232
M1617	21823
M1618	1312
M1619	3249
M1620	5345
M1621	10553
M1622	3288
M1623	20813
M1624	21823
M1625	4136
M1626	333
M1627	173
M1628	323
M1629	4339
M1630	5345
M1631	6350
M1632	1695
M1633	2381
M1634	5910
M1635	2643
M1636	503
M1637	6560
M1638	6061
M1639	3880
M1640	909
M1641	2981
M1642	5497
M1643	7846
M1644	3745
M1645	4802
M1646	5275
M1647	5115
M1648	5245
M1649	2842
M1650	162
M1651	20813
M1652	21823
M1653	6748
M1654	2333
M1655	8635
M1656	6350
M1657	3218
M1658	6754
M1659	4005
M1660	11314
M1661	8371
M1662	3630
M1663	4890
M1664	2851
M1665	4541
M1666	8635
M1667	13498
M1668	3524
M1669	717
M1670	4017
M1671	11314
M1672	262
M1673	176
M1674	109
M1675	4480
M1676	4976
M1677	13498
M1678	5870
M1679	4792
M1680	4326
M1681	5237
M1682	179
M1683	6166
M1684	5516
M1685	2849
M1686	3455
M1687	5559
M1688	1776
M1689	449
M1690	5583
M1691	3183
M1692	2669
M1693	3489
M1694	367
M1695	6558
M1696	4631
M1697	626
M1698	452
M1699	3885
M1700	2616
M1701	13498
M1702	8283
M1703	3763
M1704	1954
M1705	442
M1706	8244
M1707	6951
M1708	5167
M1709	3717
M1710	2056
M1711	6985
M1712	2955
M1713	5288
M1714	8283
M1715	1247
M1716	86
M1717	646
M1718	2707
M1719	2220
M1720	10622
M1721	6985
M1722	14404
M1723	3399
M1724	3880
M1725	3900
M1726	5088
M1727	3249
M1728	181
M1729	2283
M1730	5232
M1731	2717
M1732	7183
M1733	3398
M1734	4527
M1735	6467
M1736	6383
M1737	1053
M1738	6557
M1739	2033
M1740	5495
M1741	5615
M1742	5598
M1743	5366
M1744	4780
M1745	10622
M1746	7835
M1747	14404
M1748	8570
M1749	2769
M1750	3689
M1751	4467
M1752	9405
M1753	6330
M1754	6357
M1755	4312
M1756	5569
M1757	2846
M1758	14404
M1759	9789
M1760	2937
M1761	9395
M1762	5488
M1763	9405
M1764	107
M1765	14
M1766	89
M1767	4106
M1768	3210
M1769	9789
M1770	2747
M1771	9395
M1772	4905
M1773	5030
M1774	1502
M1775	4442
M1776	314
M1777	3673
M1778	5373
M1779	5137
M1780	7358
M1781	3081
M1782	4839
M1783	3655
M1784	4806
M1785	174
M1786	3960
M1787	5205
M1788	4498
M1789	130
M1790	2981
M1791	2382
M1792	9789
M1793	10348
M1794	1594
M1795	2718
M1796	6652
M1797	5917
M1798	3932
M1799	4620
M1800	9621
M1801	6924
M1802	6750
M1803	2374
M1804	4363
M1805	10348
M1806	9336
M1807	9621
M1808	5812
M1809	389
M1810	62
M1811	406
M1812	6750
M1813	1225
M1814	8477
M1815	4912
M1816	5250
M1817	3925
M1818	5312
M1819	2887
M1820	3942
M1821	5261
M1822	2518
M1823	3122
M1824	1956
M1825	5227
M1826	5989
M1827	3421
M1828	3265
M1829	5292
M1830	5990
M1831	9336
M1832	11041
M1833	2295
M1834	5923
M1835	2801
M1836	8477
M1837	2425
M1838	9186
M1839	13604
M1840	6641
M1841	124
M1842	6874
M1843	6879
M1844	9989
M1845	6559
M1846	5923
M1847	3730
M1848	1661
M1849	8191
M1850	9186
M1851	13604
M1852	7878
M1853	175
M1854	2770
M1855	4428
M1856	1979
M1857	7199
M1858	12220
M1859	8191
M1860	6656
M1861	2813
M1862	14909
M1863	7328
M1864	6
M1865	3970
M1866	52
M1867	5948
M1868	9469
M1869	8187
M1870	4195
M1871	4252
M1872	1348
M1873	3529
M1874	7488
M1875	1467
M1876	5571
M1877	6736
M1878	3986
M1879	5092
M1880	4189
M1881	12220
M1882	11481
M1883	6962
M1884	2251
M1885	14909
M1886	7195
M1887	4045
M1888	889
M1889	463
M1890	1999
M1891	4625
M1892	3799
M1893	3687
M1894	11481
M1895	5736
M1896	2560
M1897	50
M1898	6962
M1899	3650
M1900	4583
M1901	5195
M1902	11086
M1903	3917
M1904	11481
M1905	6962
M1906	4988
M1907	7529
M1908	861
M1909	3
M1910	4053
M1911	415
M1912	82
M1913	212
M1914	1849
M1915	8926
M1916	3274
M1917	21
M1918	109
M1919	275
M1920	376
M1921	4640
M1922	201
M1923	290
M1924	260
M1925	334
M1926	10487
M1927	11086
M1928	12863
M1929	5030
M1930	2467
M1931	3551
M1932	2326
M1933	900
M1934	504
M1935	4710
M1936	5684
M1937	3435
M1938	12863
M1939	11041
M1940	14
M1941	393
M1942	185
M1943	8591
M1944	2894
M1945	5778
M1946	7171
M1947	8827
M1948	4218
M1949	11041
M1950	1701
M1951	46
M1952	7
M1953	7
M1954	88
M1955	29
M1956	186
M1957	201
M1958	410
M1959	43
M1960	175
M1961	254
M1962	302
M1963	45
M1964	5523
M1965	5464
M1966	4312
M1967	6627
M1968	8827
M1969	3464
M1970	2840
M1971	3817
M1972	16854
M1973	3518
M1974	234
M1975	59
M1976	430
M1977	1
M1978	4770
M1979	4646
M1980	291
M1981	4528
M1982	6627
M1983	1710
M1984	11545
M1985	8155
M1986	7611
M1987	16854
M1988	5773
M1989	100
M1990	664
M1991	393
M1992	4313
M1993	5140
M1994	11545
M1995	5346
M1996	11673
M1997	16854
M1998	3549
M1999	75
M2000	929
M2001	7142
M2002	1814
M2003	260
M2004	656
M2005	4374
M2006	4763
M2007	100
M2008	455
M2009	282
M2010	619
M2011	28
M2012	482
M2013	366
M2014	4
M2015	266
M2016	29
M2017	2679
M2018	3526
M2019	9599
M2020	5346
M2021	11673
M2022	2080
M2023	5638
M2024	328
M2025	451
M2026	236
M2027	4119
M2028	6876
M2029	9599
M2030	7892
M2031	708
M2032	109
M2033	174
M2034	11673
M2035	5253
M2036	3343
M2037	3025
M2038	6713
M2039	3527
M2040	7892
M2041	3336
M2042	15208
M2043	5023
M2044	305
M2045	338
M2046	7553
M2047	682
M2048	1001
M2049	7756
M2050	274
M2051	2241
M2052	2909
M2053	422
M2054	2335
M2055	3679
M2056	5143
M2057	4811
M2058	200
M2059	3474
M2060	3276
M2061	4292
M2062	4355
M2063	6713
M2064	11854
M2065	4296
M2066	3511
M2067	15208
M2068	2637
M2069	5403
M2070	6584
M2071	6970
M2072	3964
M2073	3260
M2074	11854
M2075	6759
M2076	3997
M2077	15208
M2078	4195
M2079	75
M2080	7616
M2081	4799
M2082	1434
M2083	4401
M2084	9647
M2085	6759
M2086	9283
M2087	3171
M2088	4037
M2089	439
M2090	2489
M2091	161
M2092	53
M2093	3203
M2094	6127
M2095	595
M2096	190
M2097	580
M2098	3
M2099	6840
M2100	257
M2101	588
M2102	3062
M2103	214
M2104	6
M2105	668
M2106	5959
M2107	8041
M2108	9647
M2109	12228
M2110	1
M2111	748
M2112	306
M2113	1146
M2114	401
M2115	9283
M2116	5832
M2117	5103
M2118	16913
M2119	6194
M2120	5249
M2121	12228
M2122	298
M2123	474
M2124	692
M2125	4215
M2126	4298
M2127	7584
M2128	16913
M2129	11473
M2130	3584
M2131	3945
M2132	4215
M2133	3185
M2134	3280
M2135	495
M2136	5
M2137	6105
M2138	822
M2139	93
M2140	3336
M2141	7253
M2142	488
M2143	263
M2144	232
M2145	4596
M2146	2538
M2147	733
M2148	273
M2149	180
M2150	1104
M2151	1358
M2152	9020
M2153	11473
M2154	13263
M2155	10874
M2156	4952
M2157	6671
M2158	4614
M2159	257
M2160	131
M2161	769
M2162	641
M2163	435
M2164	5490
M2165	3118
M2166	10760
M2167	10874
M2168	111
M2169	330
M2170	418
M2171	20293
M2172	6166
M2173	8115
M2174	5336
M2175	18229
M2176	10760
M2177	3016
M2178	3988
M2179	797
M2180	7840
M2181	6867
M2182	240
M2183	5829
M2184	9173
M2185	6286
M2186	3738
M2187	2919
M2188	537
M2189	198
M2190	8449
M2191	7424
M2192	1465
M2193	264
M2194	5283
M2195	534
M2196	20293
M2197	7483
M2198	8115
M2199	5014
M2200	18229
M2201	2414
M2202	5748
M2203	20293
M2204	7483
M2205	3655
M2206	6457
M2207	7576
M2208	764
M2209	5110
M2210	18229
M2211	397
M2212	9258
M2213	539
M2214	100
M2215	81
M2216	3783
M2217	3883
M2218	11571
M2219	7473
M2220	10063
M2221	4593
